関係機関一覧（令和４年２月１日現在）,,,,,,,,,,,,,,,,,,,,,,,
区市町村名,ＨＰ,名称,郵便番号,住所,最寄駅,"交通経路
（最寄り駅から徒歩何分か等）",電話番号,"対応可能な
相談内容",支援の実施内容,,,,,,,,,対象年齢,,,,,備考
,,篠崎育成室,133-0061,江戸川区篠崎町3-18-5,"都営新宿線
篠崎駅",徒歩15分,03-6231-8517,発達相談,,,○,,,,,,,○,,,,,令和4年4月1日より児童発達支援センター化します。
,,臨海育成室,134-0086,江戸川区臨海町2-2-2,"東京メトロ
東西線
西葛西駅",バス停 中左近橋から徒歩5分,03-5679-8115,発達相談,,,○,,,,,,,○,,,,,
,"教育関係
※教育相談室含む",学務課相談係,132-8501,江戸川区中央1-4-1,JR新小岩駅,バス停 江戸川区役所前,03-5662-1627,就学相談,○,,,,,,,,,○,○,○,,,
,,グリーンパレス教育相談室,132-0031,"江戸川区松島1-38-1
ｸﾞﾘｰﾝﾊﾟﾚｽ3階",JR新小岩駅,バス停 江戸川区役所前下車徒歩3分,03-5662-7204,教育相談,○,,,,,,,,,,○,○,,,
,,西葛西教育相談室,134-0088,江戸川区西葛西3-11-4,"東京メトロ
東西線
西葛西駅",徒歩8分,03-5676-2898,教育相談,○,,,,,,,,,,○,○,,,
,,南篠崎教育相談室,133-0065,"江戸川区南篠崎町5-12-2
南篠崎ｽｶｲﾊｲﾂB棟内","都営新宿線
瑞江駅",バス停 王子マテリア下車徒歩1分,03-3698-0433,教育相談,○,,,,,,,,,,○,○,,,
,就労移行支援事業所,江戸川区立障害者就労支援センター,133-0052,江戸川区東小岩-15-2,JR小岩駅,徒歩10分,03-5622-6050,生活支援・関係機関紹介,,,,,○,○,,,,,,,○,○,
,就労継続支援事業所（B型）,江戸川区立福祉作業所,133-0057,江戸川区西小岩3-25-15,JR小岩駅,徒歩10分,03-3657-1971,関係機関紹介,,,,,○,○,,,,,,,,○,
,"生活介護事業所　　　　
特定相談支援事業所　","江戸川区立
障害者支援ハウス",134-0083,江戸川区中葛西2-11-8,"東京メトロ
東西線
葛西駅",バス停 桑川町、新川橋から徒歩4分,03-5667-1333,発達相談、育児相談、就学相談、精神保健相談、生活支援、関係機関紹介,○,,,,,○,,,○,○,○,○,○,○,
,,江戸川区立みんなの家,133-0044,江戸川区本一色3-38-3,JR新小岩駅,バス停 天神橋から徒歩6分,03-5662-3411,生活支援・関係機関紹介,○,,,,,○,,,○,○,○,○,○,○,
,"就労継続支援B型
生活介護事業所　　　　
特定相談支援事業所　",江戸川区立希望の家,134-0013,江戸川区江戸川5-32-6,"東京メトロ
東西線
葛西駅",バス停 江戸川五丁目、新川口から徒歩5分,03-3680-1531,生活支援・関係機関紹介,○,,○,,○,○,,,○,○,○,○,○,○,
,生活介護事業所,江戸川区立虹の家,133-0055,江戸川区西篠崎2-18-22,"都営新宿線
篠崎駅",バス停 虹の家から徒歩1分,03-3676-3391,"生活支援
施設と契約された方を基本対象としています",,,,,,○,,,,,,,,○,
,,江戸川区立えがおの家,134-0084,江戸川区東葛西5-10-5,"東京メトロ
東西線
葛西駅",徒歩5分,03-3680-3116,生活支援,,,,,,○,,,,,,,,○,
,,江戸川区立さくらの家,132-0034,江戸川区小松川3-13-4,"都営新宿線
東大島駅",バス停 小松川三丁目から徒歩6分,03-5836-2033 ,"相談支援は行っていない
当施設は、自立訓練（生活訓練）事業所であり、就労継続支援B型を目指すという事業を実施している。",,,,,,○,,,,,,,,○,
,就労支援センター,江戸川区立障害者就労支援センター,133-0052,江戸川区東小岩6-15-2,JR小岩駅,徒歩10分,03-5622-6050,就労支援・生活支援・関係機関紹介,○,,,,○,,,,,,,,,○,
,"地域活動支援センターⅠ型
相談支援事業所　併設",地域活動支援センターえどがわ,132-0031,"江戸川区松島3-46-10
かとりｺｰﾎﾟ101",JR新小岩駅,バス停 江戸川高校前下車,03-5879-0708,精神保健相談、生活支援、就労支援、関係機関紹介,,,○,,○,○,,,○,○,○,○,○,○,
,,地域活動・相談支援センターかさい,134-0083,江戸川区中葛西2-8-3 2F,"東京メトロ
東西線
葛西駅",徒歩15分,03-5679-6445,発達相談、育児相談、就学相談、精神保健相談、生活支援、就労支援、関係機関紹介,,,○,,○,○,,,○,○,○,○,○,○,
,,地域活動支援センターはるえ野,132-0003,江戸川区春江町2-41-8,"都営新宿線
瑞江駅",バス停 春江中学校下車,03-5664-6070,発達相談、育児相談、就学相談、精神保健相談、生活支援、関係機関紹介、発達障害を背景とする引きこもりの方々のｸﾞﾙｰﾌﾟ支援,,,○,,○,○,,,○,○,○,○,○,○,
,,地域活動支援センターこまつがわ,132-0034,江戸川区小松川2-9 小松川二丁目第3ｱﾊﾟｰﾄ1階,"都営新宿線
東大島駅",徒歩15分,03-5858-6421,発達相談、育児相談、就学相談、精神保健相談、生活支援、就労支援、関係機関紹介,,,○,,○,○,,,○,○,○,○,○,○,
八王子市,障害福祉主管課,福祉部障害者福祉課,192-8501,八王子市元本郷町3-24-1,JR西八王子駅,徒歩17分,042-620-7367,一般相談・障害福祉サービスに関する相談・関係機関紹介,○,,,,,○,○,,○,○,○,○,○,○,
,保健所・保健福祉センター,八王子市保健所,192-0083,八王子市旭町13-18,JR八王子・京王八王子,徒歩3分,042-645-5196,精神保健福祉相談,○,,,,,,○,,,,○,○,○,○,
,,大横保健福祉センター,192-0062,八王子市大横町11-35,ＪＲ八王子駅,バス10分、最寄りのバス停から徒歩2分,042-625-9200,発育・発達,○,○,,,,,,,,○,,,,,
,,東浅川保健福祉センター,193-0834,八王子市東浅川町551-1,"ＪＲ高尾駅
京王高尾駅",徒歩13分,042-667-1331,発育・発達,○,○,,,,,,,,○,,,,,
,,南大沢保健福祉センター,192-0364,八王子市南大沢2-27ﾌﾚｽｺ南大沢公共棟1階,京王線南大沢駅,徒歩3分,042-679-2205,発育・発達,○,○,,,,,,,,○,,,,,
,子ども家庭支援センター,子ども家庭支援センタ－,192-0082,"八王子市東町5-6ｸﾘｴｲﾄﾎ-ﾙB1
(他5拠点)",JR八王子駅・京王八王子駅,徒歩4分,042-656-8225,子どもと家庭に関する総合相談,○,,,,,,,,,○,○,○,○,,
,"教育関係
※教育相談所含む",教育指導課（教育センター）,193-0832,八王子市散田町2-37-1,JR西八王子駅,徒歩20分,"042-664-6949
(総合教育相談)",教育相談、就学相談、不登校,○,,,○,,,,○,○,,○,○,,,
,相談支援事業所,相談支援センター　待夢,192-0362,八王子市松木48-10ｸﾞﾗﾝﾄﾞｩｰﾙ 105,京王堀之内駅,徒歩10分,042-682-4670,福祉サービス利用の相談、就労の相談、専門機関の紹介、障害者差別・虐待に関する相談,○,,,,○,,,,,,,,,○,
,地域活動支援センター,地域生活支援センター　あくせす,192-0904,"八王子市子安町3-6-7
ｻｻﾞﾝｴｲﾄﾋﾞﾙ3F","JR八王子駅
京王八王子駅","徒歩5分
徒歩12分",042-631-1022,日常生活相談、福祉サービス利用相談、専門機関への紹介、障害者虐待・差別等に関する相談,○,,,,○,○,○,,,,,,,○,
,その他関係機関,八王子市小児・障害メディカルセンター（島田療育センターはちおうじ）,193-0931,八王子市台町4-33-13,西八王子駅,徒歩10分,042-634-8758,診療、リハビリ、発達相談、療育支援、関係機関紹介,○,○,○,,,○,○,○,,○,○,○,,,
立川市,障害福祉主管課,立川市福祉保健部障害福祉課,190-8666,立川市泉町1156-9,多摩モノレール高松駅,徒歩10分位,042-523-2111,精神保健福祉相談、障害福祉サービスに関する相談等,○,,,,○,○,○,○,,○,○,○,○,○,
,保健センター,立川市健康会館,190-0011,立川市高松町3-22-9,JR立川駅,徒歩13分位,042-527-3234,育児相談、発達相談,○,○,,,,,,,,○,,,,,
,子供家庭支援センター,子ども家庭支援センター,190-0022,立川市錦町3-2-26,JR西国立駅,徒歩7分位,042-529-8566,育児相談、発達相談,○,,○,○,,,,,,○,○,○,○,,
,児童発達支援（センター以外）,立川市ドリーム学園,190-0023,立川市柴崎町5-11-26,多摩モノレール柴崎体育館駅,徒歩１０分位,042-525-9418,発達相談、育児相談,,,○,,,,,,,○,,,,,
,"教育関係
※教育相談所含む",立川市教育委員会教育支援課,190-0022,立川市錦町3-2-26,JR西国立駅,徒歩7分位,042-527-6171,教育相談、就学相談,○,,,○,,,,,,○,○,○,○,,
武蔵野市,障害福祉主管課,障害者福祉課,180-8777,武蔵野市緑町2-2-28,ＪＲ三鷹駅,ﾊﾞｽ10分,0422-60-1847,精神保健相談、生活支援、就労支援、,○,,,,,○,○,○,,○,○,○,○,○,
,,児童発達支援センターみどりのこども館相談部ハビット,180-0012,武蔵野市緑町2-6-8武蔵野緑町二丁目第3ｱﾊﾟｰﾄ1階,ＪＲ三鷹駅,ﾊﾞｽ10分,0422-55-8510,発達相談、育児相談、生活支援,○,○,○,○,,,,○,,○,○,○,○,,
,保健所・保健センター,健康課,180-0001,武蔵野市吉祥寺北町4-8-10,ＪＲ三鷹駅,ﾊﾞｽ10分,0422-51-0700,乳幼児健診、発達相談、育児相談、関係機関紹介,○,○,,,,,,,,○,,,,,
,子供家庭支援センター,子ども子育て支援課子ども家庭支援センター,180-8777,武蔵野市緑町2-2-28,ＪＲ三鷹駅,ﾊﾞｽ10分,"0422-55-9002
0120-839-002",育児相談、生活支援、関係機関紹介,○,,,,,,,,,○,○,○,○,,名称変更予定あり
,児童発達支援（センター）,児童発達支援センターみどりのこども館通所部ウィズ,180-0012,武蔵野市緑町2-6-8武蔵野緑町二丁目第3ｱﾊﾟｰﾄ1階,ＪＲ三鷹駅,ﾊﾞｽ10分,0422-54-5162,発達支援,,,○,,,,,,,○,,,,,
,児童発達支援（センター以外）,千川おひさま幼児教室,180-0011,武蔵野市八幡町4-28-13障害者福祉ｾﾝﾀｰ3F,ＪＲ三鷹駅,バス10分,0422-51-4008,発達支援,,,○,,,,,,,○,,,,,
,"教育関係
※教育相談所含む",武蔵野市教育支援センタ－,180-0001,武蔵野市吉祥寺北町4-11-37,ＪＲ三鷹駅,ﾊﾞｽ10分,0422-60-1899,発達相談、教育相談、関係機関紹介,○,,○,○,,,,,,○,○,○,○,,
,就労支援センター,武蔵野市障害者就労支援センターあいる,180-0023,武蔵野市境南町2-5-8　ヴィラージュ武蔵野102号室,ＪＲ武蔵境駅,徒歩4分,0422-26-1855,就労支援,,,,,○,,,,,,,,,○,
,地域活動支援センター,地域生活支援センターびーと,180-0001,武蔵野市吉祥寺北町4-11-16,ＪＲ三鷹駅,ﾊﾞｽ8分,0422-54-5171,生活支援、関係機関紹介,○,,,,,○,○,,,,,,,○,
,,ライフサポートＭＥＷ,180-0006,武蔵野武蔵野市中町3丁目4番9 ディアハイム武蔵野1階,ＪＲ三鷹駅,徒歩14分（バス5分）,0422-38-7661,生活支援、関係機関紹介,○,,,,,○,○,,,,,,,○,
,,コット,180-0022,武蔵野市境1-9-9温泉通りﾋﾞﾙ205,ＪＲ武蔵境駅,徒歩5分,0422-38-8837,生活支援、関係機関紹介,○,,,,,○,○,,,,,,,○,
三鷹市,障害福祉主管課,健康福祉部　障がい者支援課,181-8555,三鷹市野崎1-1-1,三鷹駅,ﾊﾞｽ停三鷹市役所前下車すぐ,0422-45-1151,障害福祉サービス等,,,,,,○,,,,○,○,○,○,○,
,障害福祉主管課,三鷹市基幹相談支援センター,181-8555,三鷹市野崎1-1-1,三鷹駅,ﾊﾞｽ停三鷹市役所前下車すぐ,0422-45-1151,総合相談、関係機関紹介,○,,,,,,○,,,,,,,○,
,保健所・保健センター,三鷹市総合保健センター,181-0004,"三鷹市新川六丁目37番1号
三鷹中央防災公園･元気創造ﾌﾟﾗｻﾞ2階",三鷹駅,ﾊﾞｽ停三鷹市役所前下車,0422-46-3254,子育て相談、関係機関紹介等,○,○,,,,,,,,○,,,,,
,児童福祉主管課,子ども政策部児童青少年課,181-8555,三鷹市野崎一丁目1番1号,三鷹駅,ﾊﾞｽ停三鷹市役所前下車すぐ,0422-45-1151,児童健全育成に関する相談、関係機関紹介,○,,,,,,,,,○,○,○,○,,
,子ども家庭支援センター,子ども家庭支援センターりぼん,181-0013,三鷹市下連雀9-11-7,三鷹駅,ﾊﾞｽ停三鷹市役所前下車すぐ,0422-40-5925,児童総合相談,○,,,,,,,,,○,○,○,○,,
,児童発達支援（センター）,子ども発達支援センター,181-0004,三鷹市新川6-37-1,三鷹駅,ﾊﾞｽ停三鷹市役所前下車すぐ,0422-45-1122,発達相談、育児相談、関係機関紹介等,○,○,○,○,,,○,○,○,○,○,○,○,,
,"教育関係
※教育相談所含む",総合教育相談室,181-8505,三鷹市下連雀9-11-7,三鷹駅,ﾊﾞｽ停三鷹市役所前下車すぐ,0422-45-1151,教育相談・就学相談等,○,,,,,,,,,○,○,○,○,,
,相談支援事業所,三鷹市障がい者自立支援センターゆー・あい,181-0012,三鷹市上連雀4-1-8,三鷹駅,南口徒歩10分,0422-43-9047,精神保健・生活支援・居住支援・地域移行・計画相談等,○,,,,,,,,,,,,○,○,対象年齢の欄高校生は、18歳以上に限る。
,,野の花,181-0014,三鷹市野崎2-6-42,三鷹駅,ﾊﾞｽ15分ﾊﾞｽ停から3分,0422-30-8800,精神保健・生活支援・就労支援に関わること（関係機関紹介も含む）,○,,,,,,,,,,,,,○,
,,めだか相談室,181-0002,三鷹市牟礼7-6-3　スフィアA102,吉祥寺駅、三鷹駅,小田急ﾊﾞｽ新川宿バス停下車3分　新川通バス停下車7分,0422-43-0171,精神保健・関係機関紹介　計画相談等,○,,,,,,,,,,,,,○,
,,障がい者相談センターつなぐ手,181-0004,"三鷹市新川3-21-19
はなはなﾃﾗｽ1F",吉祥寺駅・仙川駅,杏林大学病院前下車徒歩3分,0422-45-1127,計画相談等,○,,,,,,,,,○,○,○,○,○,
,,ひまわり,181-0013,東京都三鷹市下連雀4－8－20,三鷹駅,南口徒歩15分,0422-24-7290,精神保健相談・関係機関紹介  計画相談、地域移行等,○,,,,,,,,,,,,,○,
,,三鷹市北野ハピネスセンター,181-0003,三鷹市北野1-9-29,"吉祥寺駅
千歳烏山駅",ﾊﾞｽ停北野水無下車5分,0422-48-6331,発達相談、育児相談、関係機関紹介等,○,,,,,,,,,,,,,○,
,,長谷川病院特定相談支援事業所,181-0016,三鷹市深大寺2-30-17-201,"武蔵境駅
調布駅",バス停大沢橋羽沢小学校前下車徒歩8分,0422-30-5376,地域移行・計画相談等,○,,,,,,,,,,,,,○,
,,相談支援事業所　にじネット,181-0015,三鷹市大沢1-6-3,調布駅、吉祥寺駅、三鷹駅,バス停神代植物公園前下車徒歩5分,0422-39-2411,計画相談等,○,,,,,,,,,,,,,○,
,,相談支援事業所　にじアート,181-0004,三鷹市新川4-11-13,仙川駅、吉祥寺駅、三鷹駅,小田急ﾊﾞｽ新川団地中央下車徒歩1分,0422-43-0727,計画相談等,○,,,,,,,,,,○,○,○,○,
,,じゅうと生活サポートセンター,181-0015,三鷹市大沢1-16-26,調布駅、吉祥寺駅、三鷹駅,バス停天文台前下車徒歩3分,0422-26-1772,計画相談等,○,,,,,,,,,○,○,○,○,○,
,,アウル相談支援事業所三鷹,181-0015,三鷹市大沢1-12-35-322,"武蔵境駅
三鷹駅
調布駅",ﾊﾞｽ停「天文台裏」下車徒歩5分,0422-26-4703,計画相談等,○,,,,,,,,,,,,,○,
,,障がい者相談センターともに,181-0013,"三鷹市下連雀1-8-22
下連雀HYビル3Ｆ","三鷹駅
吉祥寺駅",バス停明星学園入口または下連雀下車徒歩2分,0422-24-8223,計画相談等,○,,,,,,,,,○,○,○,○,○,
,就労移行支援事業所,工房　時,181-0014,三鷹市野崎2-6-41,武蔵先駅　三鷹駅,ﾊﾞｽ10分,0422-30-5571,就労支援,,,,,○,,,,,,,,,○,
,,ワークショップハーモニー,181-0015,三鷹市大沢1-1-43,三鷹駅、武蔵境駅、調布駅,ﾊﾞｽ停天文台裏下車5分,0422-26-8620,就労支援,,,,,○,,,,,,,,,○,
,就労継続支援事業所（A型）,ワークショップハーモニー,181-0015,三鷹市大沢1-1-43,三鷹駅、武蔵境駅、調布駅,ﾊﾞｽ停天文台裏下車5分,0422-26-8620,就労支援,,,,,○,,,,,,,,,○,
,就労継続支援事業所（B型）,むうぷ舎中原,181-0002,三鷹市牟礼7-5-14-1F,"吉祥寺駅
三鷹駅",新川宿ﾊﾞｽ停下車1分　新川通ﾊﾞｽ停下車7分,0422-49-3583,精神保健相談、就労支援　就労支援,○,,,,○,,,,,,,,,○,
,,むうぷ舎新川,181-0004,三鷹市新川4-9-5,仙川駅、吉祥寺駅、三鷹駅,小田急ﾊﾞｽ新川団地南口正面中原小学校より3分,0422-44-7507,精神保健相談、就労支援　就労支援,,,,,○,,,,,,,,,○,
,,食茶房むうぷ,181-0004,三鷹市新川6-9-23,仙川駅、吉祥寺駅、三鷹駅,各駅から小田急ﾊﾞｽで20分程度「杏林大学病院前」下車すぐ,0422-43-4600,精神保健相談、就労支援　就労支援,,,,,○,,,,,,,,,○,
,,巣立ち風,181-0014,三鷹市野崎2-6-42,三鷹駅,ﾊﾞｽ15分ﾊﾞｽ停から3分,0422-34-2761,精神保健・生活支援・就労支援に関わること（関係機関紹介も含む）,,,,,○,○,,,,,,,,○,
,,巣立ち工房,181-0013,"三鷹市下連雀4-17-6
ﾐﾀｶｻﾝﾗｲｽﾞﾏﾝｼｮﾝ102",三鷹駅、調布駅,"三鷹駅南口徒歩15分
バス停八幡前下車5分　",0422-24-7739,精神保健相談・関係機関紹介,,,,,○,○,,,,,,,,○,
,就労継続支援事業所（A型）,三鷹ひまわり第１共同作業所,181-0013,三鷹市下連雀4-8-20,三鷹駅,南口徒歩 15分,0422-76-0388,生活支援、就労支援、関係機関の紹介・連携,,,,,○,○,,,,,,,,○,就労継続A型は2022年3月末で閉所予定です。
,就労継続支援事業所（B型）,三鷹ひまわり第１共同作業所,181-0013,三鷹市下連雀4-8-20,三鷹駅,南口徒歩15分,0422-76-0388,生活支援、就労支援、関係機関の紹介・連携,,,,,○,○,,,,,,,,○,
,,三鷹ひまわり第２共同作業所,181-0012,三鷹市上連雀4-1-8　福祉コアかみれん地下,三鷹駅,南口より徒歩10分,0422-48-5240,生活支援、就労支援、関係機関の紹介・連携,,,,,○,○,,,,,,,,○,
,,三鷹ひまわり第３共同作業所,181-0013,三鷹市下連雀3-11-8,三鷹駅,南口徒歩8分,0422-72-0231,生活支援、就労支援、関係機関の紹介・連携,,,,,○,○,,,,,,,,○,
,就労支援センター,三鷹市障がい者就労支援センター　かけはし,181-0013,三鷹市下連雀4-15-18-2F,三鷹駅,15分,0422-27-8864,就労支援  関係機関紹介,,,,,○,,○,,,,,,,○,
,"その他のサービス事業所
※法外サービス含む",障がい者相談支援センターぽっぷ,181-0013,三鷹市下連雀4-15-18-2F,三鷹駅,15分,0422-71-1901,生活相談・関係機関紹介,○,,,,,○,○,,,,,,,○,
,就労移行支援事業所,就労移行支援事業所ＴＯＤＡＹ三鷹,181-0013,三鷹市下連雀4-15-38ﾋﾞﾊﾞﾘｰﾎｰﾑｽﾞ三鷹1階･2階,三鷹駅,三鷹駅南口徒歩8分,0422-24-6288,就労支援,,,,,○,,,,,,,,,○,
,放課後等デイサービス,ＮＰＯ法人　空の翼　ウイングみたか,181-0014,三鷹市野崎1-7-21- ﾕﾆﾊﾟﾚｽ三鷹1階,三鷹駅、吉祥寺駅、調布駅,バス停「医師会館前」下車徒歩１分,0422-26-7861,計画相談、発達支援等,○,,○,,,○,,,,,○,○,○,,
青梅市,障害福祉主管課,青梅市障がい者福祉課,198-8701,青梅市東青梅1-11-1,東青梅,徒歩5分,0428-22-1111,"精神保健相談
関係機関紹介など",○,○,○,○,○,,○,,,○,○,○,○,○,
,保健所・保健センター,青梅市健康センター,198-0042,青梅市東青梅1-174-1,東青梅,徒歩3分,0428-23-2191,発達相談、育児相談、関係機関紹介等,○,○,○,,,,○,,,○,,,,,
,児童福祉主管課,青梅市子育て推進課,198-8701,青梅市東青梅1-11-1,東青梅,徒歩5分,0428-22-1111,,,,,○,,,,,,○,,,,,
,子ども家庭支援センター,青梅市子ども家庭支援センター,198-8701,青梅市東青梅1-11-1,東青梅,徒歩5分,0428-24-2126,子どもと家庭の相談、関係機関紹介等,○,,,,,,,,,○,○,○,○,,
,放課後等デイサービス,らんらんすばる,198-0024,"青梅市新町3-20-3
ﾀﾞｲﾔﾊﾟﾚｽ1階",小作,徒歩8分,0428-78-0955,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,ありえす,198-0043,青梅市千ヶ瀬町4-572-6,東青梅,徒歩15分,0428-78-3310,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,友愛こどもクラブとことこ,198-0001,成木2-107,東青梅,ﾊﾞｽ25分,0428-74-5453,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,オルオルハウスかすみ,198-0024,新町1-43-6,小作,徒歩25分,0428-78-2437,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,きらきらすばる（対象：重症心身障害）,198-0014,青梅市大門2-281-1,河辺,バス10分,0428-34-9702,医療的ケア児・家族の支援全般,,,,,,,,,○,,○,○,○,,※重症心身障害児対象
,,ポラリスキッズ,198-0024,新町7-5-5,小作,徒歩25分,0428-27-4860,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,ドリームボックス河辺,198-0031,"師岡町4-11-1
ヴｨﾗ･ｴｲｼﾞ101",河辺,徒歩5分,0428-84-2350,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,オルオルネクストかべ,198-0036,河辺町5-23-7,河辺,徒歩5分,0428-78-3567,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,こどもプラス青梅教室,198-0032,"野上町2-10-2
平沼ﾋﾞﾙ1階101",河辺,徒歩20分,0428-84-0782,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,おひさま放課後デイサービス,198-0024,新町5-24-3,小作,徒歩22分,0428-27-9076,医療的ケア児・家族の支援全般,,,,,,,,,○,,○,○,○,,※重症心身障害児対象
,,オルオルアドバンスすえひろ,198-0025,末広町2-1-31,小作,徒歩10分,0428-78-2884,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,このこのビレッジ青梅,198-0042,青梅市東青梅3-25-3,東青梅,徒歩7分,0428-84-0685,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,ｓｅｌｅｃｔａ,198-0032,"野上町3-2-9
ﾃﾞｨｱｺｰﾄM･S 1F",河辺,徒歩10分,0428-84-2810,中高生の進学・就学準備のための訓練,,,,,,,,,○,,○,○,○,,
,,放課後等デイサービス　Ｔｏｍｏｒｒｏｗ,198-0042,青梅市東青梅1-4-11,東青梅,徒歩1分,0428-23-7346,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,※重症心身障害児対象
,,わくプレ２,198-0024,青梅市新町1-4-17 ｱﾆﾊﾞｰｻﾘｰ102,小作,徒歩15分,0428-78-0350,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,放課後等デイサービス　彩,198-0042,青梅市東青梅1-4-4 ｺﾔﾏﾋﾞﾙ2階,東青梅,徒歩1分,0428-84-2012,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,もりもりの森（森のにじ）,198-0024,青梅市新町2-10-17,小作駅,徒歩15分,0428-78-2536,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,ルアナ,198-0043,青梅市千ヶ瀬町2-243,東青梅,徒歩8分,0428-78-3503,生活能力向上のための訓練等,,,,,,,,,○,,○,○,○,,
,,ぷちぷちすばる（対象：重症心身障害）,198-0014,青梅市大門2-281-1,河辺,バス10分,0428-34-9702,子育て、発達相談、医療的ケア、家族支援等,○,,○,,,,,,○,○,,,,,※重症心身障害児対象
,"教育関係
※教育相談所含む",青梅市教育相談所,198-0042,"青梅市東青梅1-2-5
ｾﾝﾀｰﾋﾞﾙ3F",東青梅,徒歩2分,"0428-23-2200
0428-25-1012",発達相談、就学相談,○,○,○,,,,,,,○,○,○,,,
,,就学相談室,198-0042,"青梅市東青梅1-2-5
ｾﾝﾀｰﾋﾞﾙ3F",東青梅,徒歩2分,0428-25-1014,就学相談,○,,,,,,,,,○,○,○,,,
,,相談支援事業所おおぞら,198-0001,青梅市成木2-130-2,東青梅,ﾊﾞｽ25分,0428-74-4192,相談支援,○,,,,,,,,,○,○,○,○,○,
,,相談支援事業所くらやしき,198-0024,青梅市新町1-8-2,小作,徒歩25分,0428-78-2722,相談支援,○,,,,,,,,,○,○,○,○,○,
,,花の里,198-0052,青梅市長淵5-1080-2,青梅,徒歩40分,0428-25-1641,相談支援,○,,,,,,,,,,,,,○,
,,多機能型支援施設ほたるの里,198-0052,青梅市長淵5-1086,青梅,徒歩40分,0428-25-1200,相談支援,○,,,,,,,,,,,,,○,
,,特定・障害児相談支援事業所じりつ,198-0023,青梅市今井5-2434-2,新町,バス18分,0428-32-1631,相談支援,○,,,,,,,,,,○,○,○,○,
,,相談支援センターわかば,198-0014,青梅市大門2-259-3,河辺,徒歩20分,0428-34-9230,相談支援,○,,,,,,,,,,,,,○,
,,有限会社アイケアーサービス青梅,198-0042,青梅市東青梅1-7-8,東青梅,徒歩5分,0428-22-2339,相談支援,○,,○,,○,○,,,,○,○,○,○,○,
,,ケアープラン新町,198-0024,青梅市新町7-63-5ｴﾙﾍﾞｰﾙ新町Ⅱ号館133,小作,バス10分,0428-30-0085,相談支援,○,,,,,,,,,,○,○,○,○,
,,特定相談支援事業所だいもん,198-0014,青梅市大門2-261-1青梅市障がい者ｻﾎﾟｰﾄｾﾝﾀｰ内,河辺,バス10分,0428-30-0152,相談支援,○,,,,,,,,,,○,○,○,○,
,,ポラリス相談室,198-0024,青梅市新町7-5-5,小作,徒歩25分,0428-27-4178,相談支援,○,,,,,,,,,,○,○,○,○,
,,もみの木,198-0042,青梅市東青梅6-2-29ｶｰｻｵﾔﾏ102号,東青梅,徒歩10分,0428-78-3691,相談支援,○,,,,,,,,,,○,○,○,○,
,,自立支援塾おうめ・相談室,198-0042,青梅市東青梅3-8-5葵ﾏﾝｼｮﾝ1階,東青梅,徒歩5分,0428-84-0054,相談支援,○,,,,,,,,,,,,,○,
,,相談支援事業はんず,198-0063,青梅市大柳町1552-5,青梅,徒歩15分,080-7601-0313,相談支援,○,,,,,,,,,○,○,○,○,○,
,,相談支援事業所はまなす,198-0051,青梅市友田町1-1010-24,小作,徒歩25分,090-7181-9856,相談支援,○,,,,,,,,,,○,○,○,○,
,,ほめてこ・おうめ児童相談所,198-0036,青梅市河辺町7-11-57,小作,徒歩15分,0428-78-0600,相談支援,○,,,,,,,,,○,○,○,○,,
,就労支援センター,青梅市障害者就労支援センター,198-0042,"青梅市東青梅1-2-5 
ｾﾝﾀｰﾋﾞﾙ3F",東青梅,徒歩2分,0428-25-8510 ,就労相談、就労支援,,,,,○,,,,,,,,○,○,
,地域活動支援センター,青梅市障がい者サポートセンター,198-0014,青梅市大門2-261-1,河辺,ﾊﾞｽ10分,0428-30-0152,相談支援、日中活動支援,○,○,○,,○,○,○,,,○,○,○,○,○,
府中市,障害福祉主管課,府中市役所,183-8703,府中市宮西町2-24,京王線府中駅、JR南武線・武蔵野線府中本町駅,京王線府中駅から徒歩8分、JR府中本町駅から徒歩5分,042-335-4022,発達障害者（児）の福祉サービス等の相談,○,,,,,,○,,,○,○,○,○,○,
,子ども家庭支援課,府中市保健センター,183-0055,府中市府中町2-25,京王線府中駅,徒歩8分,042-368-5333,乳幼児発達相談、育児相談,○,○,○,,,,,,,○,,,,,
